Designator,Mid X,Mid Y,Rotation,Layer
C1,104.5,-53.5,180.0,top
C2,104.75,-57.75,0.0,top
C3,135.5,-69.5,90.0,top
C4,117.5,-58.5375,270.0,top
J1,73.0,-61.5,270.0,top
J10,137.24,-75.73,180.0,top
J11,141.0,-75.73,180.0,top
J2,94.5,-68.0,0.0,top
J3,136.798,-55.75,90.0,top
J4,115.75,-72.5,180.0,top
J5,123.23,-63.75,270.0,top
J8,132.16,-77.0,90.0,top
J9,144.75,-75.73,180.0,top
JP1,124.54,-77.0,270.0,top
JP3,122.0,-70.65,0.0,top
JP4,125.81,-70.65,0.0,top
R1,117.0,-47.05,0.0,top
R2,117.0,-49.5,0.0,top
R3,117.0,-52.0,0.0,top
R4,117.0,-54.5,180.0,top
R5,114.5,-57.5,0.0,top
RV1,97.5,-56.26,0.0,top
RV2,90.0,-56.26,0.0,top
RV3,82.5,-56.26,0.0,top
RV4,122.5,-50.0,0.0,top
RV5,122.5,-57.75,0.0,top
TP1,86.0,-48.0,0.0,top
TP2,83.0,-48.0,0.0,top
TP3,80.0,-48.0,0.0,top
TP4,89.0,-48.0,0.0,top
TP5,92.0,-48.0,0.0,top
TP6,95.0,-48.0,0.0,top
TP7,98.0,-48.0,0.0,top
TP8,101.0,-48.0,0.0,top
TP9,104.0,-48.0,0.0,top
U1,111.0,-50.81,270.0,top
U2,130.89,-70.65,180.0,top
